29982,29983,269,concept:televisionstationincity,Relation
9404,9364,38,concept:agentcontrols_inv,Relation
7043,4643,18,concept:locationlocatedwithinlocation_inv,Relation
3255,24371,8,concept:subpartof_inv,Relation
65076,40838,157,concept:athleteplaysforteam,Relation
42115,39442,298,concept:sportusesequipment_inv,Relation
35004,35005,219,concept:airportincity,Relation
69416,5130,123,concept:headquarteredin,Relation
27321,1934,237,concept:teamplaysagainstteam,Relation
564,3464,15,concept:mutualproxyfor,Relation
858,19354,10,concept:atdate_inv,Relation
38,40244,96,concept:subpartoforganization_inv,Relation
51466,51469,135,concept:professionistypeofprofession,Relation
45989,45199,312,concept:academicprogramatuniversity_inv,Relation
7343,1276,206,concept:animalthatfeedoninsect_inv,Relation
26720,5024,23,concept:atlocation,Relation
27869,71519,30,concept:topmemberoforganization_inv,Relation
68615,59173,373,concept:politicianusendorsedbypoliticianus,Relation
19981,55890,110,concept:itemfoundinroom_inv,Relation
40499,39821,238,concept:teamplaysagainstteam_inv,Relation
3,485,37,concept:agentcontrols,Relation
17683,26410,8,concept:subpartof_inv,Relation
5679,61452,60,concept:persongraduatedfromuniversity_inv,Relation
859,15266,10,concept:atdate_inv,Relation
55652,26164,109,concept:itemfoundinroom,Relation
7465,17391,107,concept:competeswith,Relation
960,37126,4,concept:proxyfor_inv,Relation
72795,72813,390,concept:automakerproducesmodel_inv,Relation
28373,570,9,concept:atdate,Relation
64860,1304,157,concept:athleteplaysforteam,Relation
1340,1070,111,concept:istallerthan,Relation
12876,29,38,concept:agentcontrols_inv,Relation
71531,71532,27,concept:personleadsorganization,Relation
62315,62316,189,concept:musicianinmusicartist,Relation
570,12791,10,concept:atdate_inv,Relation
17377,48964,76,concept:animalistypeofanimal_inv,Relation
39411,40797,238,concept:teamplaysagainstteam_inv,Relation
11562,22928,51,concept:agentactsinlocation,Relation
54738,2977,171,concept:beveragemadefrombeverage,Relation
19354,1544,9,concept:atdate,Relation
53837,53110,365,concept:weaponssuchasweapons,Relation
