3060,3060,Entity,curling
8961,8961,Entity,rugby league
4425,4425,Entity,John Conyers
4697,4697,Entity,Starsky & Hutch
9639,9639,Entity,thiamine ion
11602,11602,Entity,Central Intelligence Agency
1606,1606,Entity,Styria
2813,2813,Entity,London Records
728,728,Entity,Reversal of Fortune
12820,12820,Entity,County Kilkenny
9528,9528,Entity,Tony Thomas
1703,1703,Entity,artistic gymnastics
11273,11273,Entity,writer
1622,1622,Entity,11th United States Congress
1334,1334,Entity,Amanda Bynes
3639,3639,Entity,The Lion in Winter
5904,5904,Entity,The Grifters
6990,6990,Entity,Terminator Salvation
9326,9326,Entity,The Pirate Movie
14272,14272,Entity,News Corporation
5775,5775,Entity,G. K. Chesterton
3004,3004,Entity,James Fox
8086,8086,Entity,North Atlantic Treaty Organization
3734,3734,Entity,Marci Klein
3855,3855,Entity,University of Otago
1273,1273,Entity,Barry Lyndon
7992,7992,Entity,The Mask
14472,14472,Entity,Pembroke College
13408,13408,Entity,international relations
8488,8488,Entity,The Squid and the Whale
505,505,Entity,Royal Academy of Dramatic Art
10729,10729,Entity,Scent of a Woman
6595,6595,Entity,Richard Marx
9784,9784,Entity,The Social Network
4226,4226,Entity,Dolly Parton
2316,2316,Entity,University of Vermont
10373,10373,Entity,soldier
9986,9986,Entity,Robert Chartoff
8779,8779,Entity,Philip Glass
6262,6262,Entity,Rick Nowels
3594,3594,Entity,Nebula Award for Best Short Story
13096,13096,Entity,The Deer Hunter
2187,2187,Entity,Nathan Lane
3564,3564,Entity,Caribbean Sea
2557,2557,Entity,Hal Roach
6949,6949,Entity,Infernal Affairs II
2361,2361,Entity,multiple myeloma
8852,8852,Entity,Punjabi
10931,10931,Entity,Clark Gable
9727,9727,Entity,The Illusionist
9099,9099,Entity,Rihanna
11417,11417,Entity,Matthew Weiner
2458,2458,Entity,Scatman Crothers
12741,12741,Entity,The Best Exotic Marigold Hotel
495,495,Entity,Epitaph Records
4793,4793,Entity,Screen Actors Guild Life Achievement Award
9385,9385,Entity,Jenna Fischer
442,442,Entity,Legion of Honour
6885,6885,Entity,XL Recordings
8977,8977,Entity,John Powell
820,820,Entity,Norman Lear
10339,10339,Entity,Carry On
2020,2020,Entity,Charles Darwin
13951,13951,Entity,Mount Holyoke College
3439,3439,Entity,108th United States Congress
14454,14454,Entity,Winston-Salem
9481,9481,Entity,Syracuse University
12502,12502,Entity,Dave Mustaine
10094,10094,Entity,For Your Consideration
10277,10277,Entity,Pan's Labyrinth
4978,4978,Entity,S.L. Benfica
6045,6045,Entity,Graham Chapman
10340,10340,Entity,Wurlitzer electric piano
10945,10945,Entity,Katowice
13515,13515,Entity,The Waltons
355,355,Entity,University of York
11713,11713,Entity,My Week with Marilyn
1638,1638,Entity,Cicely Tyson
3975,3975,Entity,Agnes Nixon
7391,7391,Entity,Hallmark Hall of Fame
1933,1933,Entity,Yui Horie
4883,4883,Entity,fullback
1947,1947,Entity,Dalian
2870,2870,Entity,David McCallum
14268,14268,Entity,Howard Stern
1767,1767,Entity,Eliza Dushku
14102,14102,Entity,Rod Stewart
2887,2887,Entity,Karen Black
4253,4253,Entity,University of Buenos Aires
8452,8452,Entity,The Hangover
6068,6068,Entity,Crown of Aragon/ corona d'aragó
8159,8159,Entity,Nauru
8588,8588,Entity,Lyle R. Wheeler
14468,14468,Entity,Merton College
2607,2607,Entity,University of Zurich
13717,13717,Entity,Cambria County
4260,4260,Entity,Lawrence Kasdan
7079,7079,Entity,Grenada national football team
1475,1475,Entity,hard bop
9433,9433,Entity,Punjab
9512,9512,Entity,veganism
8889,8889,Entity,sexploitation film
8754,8754,Entity,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
9409,9409,Entity,63rd Academy Awards
40,40,Entity,Laurie Anderson
12468,12468,Entity,Jacksonville
8103,8103,Entity,Aidan Gillen
3547,3547,Entity,University of Minnesota
23,23,Entity,Morgantown
5374,5374,Entity,69th Academy Awards
7798,7798,Entity,mechanical engineering
12962,12962,Entity,Alberta
11181,11181,Entity,Friends with Benefits
7990,7990,Entity,Club Universidad de Chile
7564,7564,Entity,Pharrell Williams
426,426,Entity,Dirk Bogarde
10639,10639,Entity,Le Havre A.C.
8238,8238,Entity,S.K. Sturm Graz
5191,5191,Entity,13 Going on 30
14064,14064,Entity,L-Cystine
11876,11876,Entity,"Lust, Caution"
2082,2082,Entity,Robin Hood: Prince of Thieves
12707,12707,Entity,Jane Fonda
11224,11224,Entity,Dorothy Jeakins
11548,11548,Entity,Craig Rocastle
5811,5811,Entity,German cuisine
4059,4059,Entity,Hereford United F.C.
11033,11033,Entity,Suva
7556,7556,Entity,Larry Niven
10935,10935,Entity,Kassel
6392,6392,Entity,Rubin Kazan
5321,5321,Entity,Mean Girls
3413,3413,Entity,Grammy Award for Best Album for Children
6429,6429,Entity,2009 Sundance Film Festival
9487,9487,Entity,Jeremy Davies
6238,6238,Entity,APOEL F.C.
5648,5648,Entity,George Orwell
11851,11851,Entity,The Aristocrats
11227,11227,Entity,Robert Schumann
13141,13141,Entity,Laura
4882,4882,Entity,Venu Madhav
245,245,Entity,High Wycombe
12744,12744,Entity,Mandatory Palestine
9437,9437,Entity,Sindh
8898,8898,Entity,Hannibal Rising
