3060,curling
8961,rugby league
4425,John Conyers
4697,Starsky & Hutch
9639,thiamine ion
11602,Central Intelligence Agency
1606,Styria
2813,London Records
728,Reversal of Fortune
12820,County Kilkenny
9528,Tony Thomas
1703,artistic gymnastics
11273,writer
1622,11th United States Congress
1334,Amanda Bynes
3639,The Lion in Winter
5904,The Grifters
6990,Terminator Salvation
9326,The Pirate Movie
14272,News Corporation
5775,G. K. Chesterton
3004,James Fox
8086,North Atlantic Treaty Organization
3734,Marci Klein
3855,University of Otago
1273,Barry Lyndon
7992,The Mask
14472,Pembroke College
13408,international relations
8488,The Squid and the Whale
505,Royal Academy of Dramatic Art
10729,Scent of a Woman
6595,Richard Marx
9784,The Social Network
4226,Dolly Parton
2316,University of Vermont
10373,soldier
9986,Robert Chartoff
8779,Philip Glass
6262,Rick Nowels
3594,Nebula Award for Best Short Story
13096,The Deer Hunter
2187,Nathan Lane
3564,Caribbean Sea
2557,Hal Roach
6949,Infernal Affairs II
2361,multiple myeloma
8852,Punjabi
10931,Clark Gable
9727,The Illusionist
9099,Rihanna
11417,Matthew Weiner
2458,Scatman Crothers
12741,The Best Exotic Marigold Hotel
495,Epitaph Records
4793,Screen Actors Guild Life Achievement Award
9385,Jenna Fischer
442,Legion of Honour
6885,XL Recordings
8977,John Powell
820,Norman Lear
10339,Carry On
2020,Charles Darwin
13951,Mount Holyoke College
3439,108th United States Congress
14454,Winston-Salem
9481,Syracuse University
12502,Dave Mustaine
10094,For Your Consideration
10277,Pan's Labyrinth
4978,S.L. Benfica
6045,Graham Chapman
10340,Wurlitzer electric piano
10945,Katowice
13515,The Waltons
355,University of York
11713,My Week with Marilyn
1638,Cicely Tyson
3975,Agnes Nixon
7391,Hallmark Hall of Fame
1933,Yui Horie
4883,fullback
1947,Dalian
2870,David McCallum
14268,Howard Stern
1767,Eliza Dushku
14102,Rod Stewart
2887,Karen Black
4253,University of Buenos Aires
8452,The Hangover
6068,Crown of Aragon/ corona d'aragó
8159,Nauru
8588,Lyle R. Wheeler
14468,Merton College
2607,University of Zurich
13717,Cambria County
4260,Lawrence Kasdan
7079,Grenada national football team
1475,hard bop
9433,Punjab
9512,veganism
